elapsed_ms,current_A,event
14105.7,,Service request: command=3
14110.5,,Gripper moving to idle position...
17032.2,,Idle done. Phase took 2878 ms
17032.4,,Publishing response. Total elapsed: 2879 ms
20234.4,,Service request: command=1
20234.7,,Gripper latching...
22318.0,,Contact in latch zone at pos 26924 — latched
22318.4,,Latched
22318.4,,Latched! Phase took 1970 ms
22318.5,,Publishing response. Total elapsed: 1971 ms
25775.5,,Service request: command=3
25775.9,,Gripper moving to idle position...
27949.8,,Idle done. Phase took 2077 ms
27950.2,,Publishing response. Total elapsed: 2078 ms
29189.1,,Service request: command=2
29189.3,,Gripper releasing...
32038.1,,Home done. Phase took 2878 ms
32038.5,,Publishing response. Total elapsed: 2879 ms
35000.8,,Service request: command=3
35001.0,,Gripper moving to idle position...
37978.7,,Idle done. Phase took 2883 ms
37979.0,,Publishing response. Total elapsed: 2884 ms
41130.5,,Service request: command=1
41130.7,,Gripper latching...
42962.4,,Contact in latch zone at pos 26919 — latched
42962.9,,Latched
42962.9,,Latched! Phase took 1971 ms
42965.4,,Publishing response. Total elapsed: 1972 ms
43679.8,,Service request: command=3
43680.0,,Gripper moving to idle position...
45737.7,,Idle done. Phase took 2077 ms
45738.0,,Publishing response. Total elapsed: 2078 ms
46968.1,,Service request: command=2
46968.3,,Gripper releasing...
49824.2,,Home done. Phase took 2878 ms
49826.4,,Publishing response. Total elapsed: 2879 ms
50770.1,,Service request: command=3
50770.6,,Gripper moving to idle position...
53563.9,,Idle done. Phase took 2878 ms
53564.4,,Publishing response. Total elapsed: 2879 ms
56286.5,,Service request: command=1
56288.2,,Gripper latching...
58244.4,,Contact in latch zone at pos 26916 — latched
58256.5,,Latched
58259.6,,Latched! Phase took 1969 ms
58259.7,,Publishing response. Total elapsed: 1970 ms
59062.5,,Service request: command=3
59063.4,,Gripper moving to idle position...
61151.2,,Idle done. Phase took 2076 ms
61151.6,,Publishing response. Total elapsed: 2077 ms
62205.4,,Service request: command=2
62210.6,,Gripper releasing...
65086.9,,Home done. Phase took 2881 ms
65089.0,,Publishing response. Total elapsed: 2882 ms
65793.4,,Service request: command=3
65794.5,,Gripper moving to idle position...
68937.4,,Idle done. Phase took 2879 ms
68937.6,,Publishing response. Total elapsed: 2880 ms
69678.7,,Service request: command=1
69679.2,,Gripper latching...
71793.7,,Contact in latch zone at pos 26918 — latched
71797.7,,Latched
71798.2,,Latched! Phase took 1969 ms
71798.2,,Publishing response. Total elapsed: 1970 ms
74304.7,,Service request: command=3
74306.4,,Gripper moving to idle position...
76332.0,,Idle done. Phase took 2077 ms
76335.4,,Publishing response. Total elapsed: 2078 ms
77080.0,,Service request: command=2
77080.6,,Gripper releasing...
79927.0,,Home done. Phase took 2879 ms
79927.5,,Publishing response. Total elapsed: 2880 ms
80881.1,,Service request: command=3
80881.7,,Gripper moving to idle position...
83699.3,,Idle done. Phase took 2878 ms
83711.0,,Publishing response. Total elapsed: 2879 ms
84413.7,,Service request: command=1
84421.1,,Gripper latching...
86367.6,,Contact in latch zone at pos 26920 — latched
86377.8,,Latched
86381.2,,Latched! Phase took 1971 ms
86386.4,,Publishing response. Total elapsed: 1972 ms
87066.2,,Service request: command=3
87070.5,,Gripper moving to idle position...
89136.6,,Idle done. Phase took 2077 ms
89141.1,,Publishing response. Total elapsed: 2078 ms
89827.4,,Service request: command=2
89835.4,,Gripper releasing...
92715.8,,Home done. Phase took 2879 ms
92716.0,,Publishing response. Total elapsed: 2880 ms
93418.7,,Service request: command=3
93422.9,,Gripper moving to idle position...
96297.0,,Idle done. Phase took 2879 ms
96297.2,,Publishing response. Total elapsed: 2880 ms
98233.5,,Service request: command=1
98238.4,,Gripper latching...
100220.2,,Contact in latch zone at pos 26921 — latched
100270.0,,Latched
100270.2,,Latched! Phase took 1969 ms
100270.2,,Publishing response. Total elapsed: 1970 ms
101229.6,,Service request: command=3
101230.0,,Gripper moving to idle position...
103546.6,,Idle done. Phase took 2081 ms
103547.0,,Publishing response. Total elapsed: 2082 ms
107251.8,,Service request: command=2
107264.6,,Gripper releasing...
110128.5,,Home done. Phase took 2879 ms
110133.7,,Publishing response. Total elapsed: 2880 ms
113100.1,,Service request: command=3
113103.4,,Gripper moving to idle position...
115978.0,,Idle done. Phase took 2878 ms
115979.1,,Publishing response. Total elapsed: 2879 ms
116661.1,,Service request: command=1
116668.8,,Gripper latching...
118722.5,,Contact in latch zone at pos 26925 — latched
118727.1,,Latched
118727.5,,Latched! Phase took 1970 ms
118727.5,,Publishing response. Total elapsed: 1971 ms
119429.1,,Service request: command=3
119429.4,,Gripper moving to idle position...
121504.2,,Idle done. Phase took 2077 ms
121510.1,,Publishing response. Total elapsed: 2078 ms
122192.9,,Service request: command=2
122193.0,,Gripper releasing...
125079.0,,Home done. Phase took 2887 ms
125079.5,,Publishing response. Total elapsed: 2888 ms
128266.1,,Service request: command=3
128266.2,,Gripper moving to idle position...
131144.1,,Idle done. Phase took 2878 ms
131146.4,,Publishing response. Total elapsed: 2879 ms
131853.3,,Service request: command=1
131853.7,,Gripper latching...
133806.2,,Contact in latch zone at pos 26923 — latched
133806.9,,Latched
133806.9,,Latched! Phase took 1970 ms
133808.7,,Publishing response. Total elapsed: 1971 ms
134523.8,,Service request: command=3
134524.0,,Gripper moving to idle position...
136578.0,,Idle done. Phase took 2078 ms
136582.6,,Publishing response. Total elapsed: 2079 ms
137595.4,,Service request: command=2
137595.9,,Gripper releasing...
140301.6,,Home done. Phase took 2879 ms
140304.9,,Publishing response. Total elapsed: 2880 ms
143378.7,,Service request: command=3
143378.9,,Gripper moving to idle position...
146249.2,,Idle done. Phase took 2878 ms
146251.1,,Publishing response. Total elapsed: 2879 ms
147164.8,,Service request: command=1
147165.1,,Gripper latching...
149128.4,,Contact in latch zone at pos 26922 — latched
149128.9,,Latched
149129.0,,Latched! Phase took 1969 ms
149129.1,,Publishing response. Total elapsed: 1970 ms
149832.3,,Service request: command=3
149832.7,,Gripper moving to idle position...
151907.2,,Idle done. Phase took 2077 ms
151908.8,,Publishing response. Total elapsed: 2078 ms
152611.7,,Service request: command=2
152612.1,,Gripper releasing...
155472.2,,Home done. Phase took 2878 ms
155472.6,,Publishing response. Total elapsed: 2879 ms
156472.8,,Service request: command=3
156474.9,,Gripper moving to idle position...
159392.9,,Idle done. Phase took 2880 ms
159394.4,,Publishing response. Total elapsed: 2881 ms
160342.2,,Service request: command=1
160342.7,,Gripper latching...
162376.4,,Contact in latch zone at pos 26923 — latched
162376.9,,Latched
162376.9,,Latched! Phase took 1961 ms
162377.0,,Publishing response. Total elapsed: 1962 ms
164019.5,,Service request: command=3
164019.9,,Gripper moving to idle position...
166076.4,,Idle done. Phase took 2077 ms
166076.8,,Publishing response. Total elapsed: 2078 ms
166956.6,,Service request: command=2
166956.8,,Gripper releasing...
169819.8,,Home done. Phase took 2889 ms
169820.2,,Publishing response. Total elapsed: 2890 ms
